Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,0.1uF,C1525
C2,0402,1,10uF,C15525
D1,0603,1,LED,C2286
D2,0603,1,LED,C2290
J2,Dorabo_DB103-5.0-5P-GN-S,1,Conn_01x05_Socket,C395854
"R1, R2",0603,2,20K,C4184
"R3, R4",0603,2,10K,C25804
R5,0402,1,120,C25079
"R6, R9",0402,2,470,C25117
SW1,DongGuan_DSWB06LHGET_6_PIN_DIP,1,DSWB06LHGET,C99416
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485ESA+T,C19738
U3,SOIC-14_3.9x8.7mm_P1.27mm,1,SN74AHCT125DR,C155176
U4,Converter_DCDC_TRACO_TSR-1_THT,1,TSR_1-2450,DNP
U6,Teensy41_Minimal,1,Teensy4.1_Minimal,DNP
